"category_name","category_description_name","category_description_url","category_description_extract1"
"Eritooted","Kalapuljong, FOODSTUDIO, 350 ml","https://www.selver.ee/kalapuljong-foodstudio-350-ml","2,69 €"
"Eritooted","Mandlijook Barista, JOYA, 1 l","https://www.selver.ee/mandlijook-barista-joya-1-l","2,29 €"
"Eritooted","Palsam Fructis Hair Food Banaani, GARNIER, 350 ml","https://www.selver.ee/palsam-fructis-hair-food-banaani-garnier-350-ml","6,99 €"
"Eritooted","Kanapuljong, FOODSTUDIO, 350 ml","https://www.selver.ee/kanapuljong-foodstudio-350-ml","2,69 €"
"Eritooted","Suhkruvabad küpsised Digestive, GULLON, 400 g","https://www.selver.ee/suhkruvabad-kupsised-digestive-gullon-400-g","2,29 €"
"Eritooted","Šampoon Fructis Hair Food Banaani, GARNIER, 350 ml","https://www.selver.ee/sampoon-fructis-hair-food-banaani-garnier-350-ml","6,99 €"
"Eritooted","Mahe täistera pasta spaghetti omega 3-ga, PASTA TOSCANA, 500 g","https://www.selver.ee/oko-taistera-pasta-spaghetti-omega-3-ga-500g-pasta-toscana","1,79 €"
"Eritooted","Veisepuljong, FOODSTUDIO, 350 ml","https://www.selver.ee/veisepuljong-foodstudio-350-ml","2,69 €"
"Eritooted","Taimne grillvorst paprikaga, BON, 250 g","https://www.selver.ee/taimne-grillvorst-paprikaga-bon-250-g","1,99 €"
"Eritooted","Täistera pasta Penne omega 3-ga, PASTA TOSCANA, 500 g","https://www.selver.ee/oko-taistera-pasta-penne-omega-3-ga-500g-pasta-toscana","1,79 €"
"Eritooted","Sügavkülmutatud pirnipüree kuubikud, BABYCOOL, 200 g","https://www.selver.ee/sugavkulmutatud-pirnipuree-kuubikud-babycool-200-g","3,99 €"
"Eritooted","Taimne suitsuvorst, BON, 100 g","https://www.selver.ee/taimne-suitsuvorst-bon-100-g","1,29 €"
"Eritooted","Köögivilja puljong, suhkruvaba, 8 kuubikut, NATUR COMPAGNIE, 84 g","https://www.selver.ee/koogivilja-puljong-suhkruvaba-8-kuubikut-natur-compagnie-84-g","2,19 €"
"Eritooted","Viilujuust täispiimast, ALMA, 150 g","https://www.selver.ee/viilujuust-taispiimast-alma-150-g","1,49 €"
"Eritooted","Hummus klassikaline, MARTA KULINAARIA, 150 g","https://www.selver.ee/hummus-klassikaline-marta-kulinaaria-150-g","1,79 €"
"Eritooted","Kanapuljong, suhkruvaba, 8 tk, NATUR COMPAGNIE, 88 g","https://www.selver.ee/kanapuljong-suhkruvaba-8-tk-natur-compagnie-88-g","2,89 €"
"Eritooted","Astelpaju mahl, TAARAPÕLLU TALU, 500 ml","https://www.selver.ee/astelpaju-mahl-taarapollu-talu-500-ml-1","6,49 €"
"Eritooted","Saare Leet juust viil, SAAREMAA, 500 g","https://www.selver.ee/saare-leet-juust-viil-saaremaa-500-g","3,99 €"
"Eritooted","Hummus musta küüslauguga, MARTA KULINAARIA, 150 g","https://www.selver.ee/hummus-musta-kuuslauguga-marta-kulinaaria-150-g","2,69 €"
"Eritooted","Veisepuljong, NATUR COMPAGNIE, 96 g","https://www.selver.ee/veisepuljong-natur-compagnie-96-g","2,89 €"
"Eritooted","Hummus päiksekuivatatud tomatiga, MARTA KULINAARIA, 150 g","https://www.selver.ee/hummus-paiksekuivatatud-tomatiga-marta-kulinaaria-150-g","1,49 €"
"Eritooted","Kookose-karri kaste, gluteenivaba, laktoosivaba, FOODSTUDIO, 350 ml","https://www.selver.ee/kookose-karri-kaste-350ml-gluteenivaba-laktoosivaba-foodstudio-350-ml","3,99 €"
"Eritooted","HULGI Aedvilja-nuudliroog kalkunilihaga 8+ 6tk, PÕNN, 6 x 190 g","https://www.selver.ee/hulgi-aedvilja-nuudliroog-kalkunilihaga-8-6tk-ponn-6-x-190-g","8,00 €"
"Eritooted","Närimiskumm Sweetmint suhkruvaba kotis, ORBIT, 35 g","https://www.selver.ee/narimiskumm-sweetmint-suhkruvaba-kotis-orbit-35-g","1,19 €"
"Eritooted","Öko pirni-kiivismuuti spirulinaga, SALVEST, 170 g","https://www.selver.ee/oko-pirni-kiivismuuti-spirulinaga-salvest-170-g","2,29 €"
"Eritooted","Kikerherne-porgandi kotlet, MARTA KULINAARIA, 240 g","https://www.selver.ee/kikerherne-porgandi-kotlet-marta-kulinaaria-240-g","2,19 €"
"Eritooted","Sügavkülmutatud veiselihapüree kuubikud 200g, BABYCOOL,","https://www.selver.ee/sugavkulmutatud-veiselihapuree-kuubikud-babycool","7,99 €"
"Eritooted","Närimiskumm Orbit White Spearmint suhkruvaba kotis, ORBIT, 35 g","https://www.selver.ee/narimiskumm-orbit-white-spearmint-suhkruvaba-kotis-orbit-35-g","1,19 €"
"Eritooted","Mahe pirni-vaarika-banaanipüree, MUUTI, 110 g","https://www.selver.ee/oko-pirni-vaarika-banaanipuree-muuti-110-g","1,29 €"
"Eritooted","Kikerherne-porgandi pallid, MARTA KULINAARIA, 200 g","https://www.selver.ee/kikerherne-porgandi-pallid-marta-kulinaaria-200-g","1,89 €"
"Eritooted","Närimiskumm White Fruit suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-white-fruit-suhkruvaba-orbit-14-g","0,59 €"
"Eritooted","Mahe mango-porgandi-astelpajupüree, MUUTI, 110 g","https://www.selver.ee/oko-mango-porgandi-astelpajupuree-muuti-110-g","1,29 €"
"Eritooted","Vegan porgandi-kapsa šnitsel, UVIC, 310 g","https://www.selver.ee/vegan-porgandi-kapsa-snitsel-uvic-310-g","2,39 €"
"Eritooted","Laktoosivaba koorejäätis, BALBIINO, 480 g","https://www.selver.ee/laktoosivaba-koorejaatis-balbiino-480-g","3,99 €"
"Eritooted","Närimiskumm White Spearmint suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-white-spearmint-suhkruvaba-orbit-14-g","0,59 €"
"Eritooted","Vegan peedi kotletid, UVIC, 300 g","https://www.selver.ee/vegan-peedi-kotletid-uvic-300-g","2,59 €"
"Eritooted","Sügavkülmutatud suvikõrvitsapüree kuubikud, BABYCOOL, 200 g","https://www.selver.ee/sugavkulmutatud-suvikorvitsapuree-kuubikud-babycool-200-g","3,99 €"
"Eritooted","Kondenspiima jäätis, LA MUU, 400 g","https://www.selver.ee/kondenspiima-jaatis-la-muu-400-g","6,59 €"
"Eritooted","Närimiskumm Watermelon suhkruvaba, ORBIT, 14 g","https://www.selver.ee/narimiskumm-watermelon-suhkruvaba-orbit-14-g","0,55 €"
"Eritooted","Mahe Mungoa idud, RÜÜTS, 140 g","https://www.selver.ee/oko-mungoa-idud-125-g","1,99 €"
"Eritooted","Praetud Vegan Tseburekid 2tk, UVIC, 170 g","https://www.selver.ee/praetud-vegan-tseburekid-2tk-uvic-170-g","1,99 €"
"Eritooted","Gluteeni- ja laktoosivabad koogikesed, REVAL KONDIITER, 170 g","https://www.selver.ee/gluteeni-ja-laktoosivabad-koogikesed-reval-kondiiter-170-g","3,39 €"
"Eritooted","Aptamil Kinder-Milch 12+, APTAMIL, 200 g","https://www.selver.ee/aptamil-kinder-milch-12-aptamil-200-g","1,79 €"
"Eritooted","Pastillid Spearmint Mints, ORBIT, 28 g","https://www.selver.ee/pastillid-spearmint-mints-orbit-28-g","0,69 €"
